epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2640.32,1.16901,1.60667,1.49235,0.7221,0.62831,0.7098,0.49525,1.08147,1.12485,1.38921,0.0091882,0.0091882,0.0091882
43,2702.66,1.16072,1.58734,1.48593,0.72177,0.63365,0.71221,0.49471,1.07707,1.12019,1.38422,0.0091684,0.0091684,0.0091684
44,2765.06,1.16144,1.59087,1.48786,0.73833,0.62357,0.71272,0.49685,1.07004,1.11474,1.37833,0.0091486,0.0091486,0.0091486
45,2827.66,1.16006,1.57666,1.48406,0.72508,0.63336,0.71456,0.49975,1.06809,1.10862,1.37471,0.0091288,0.0091288,0.0091288
46,2890.31,1.15968,1.57221,1.48132,0.72339,0.64116,0.71752,0.50375,1.06223,1.10079,1.37023,0.009109,0.009109,0.009109
47,2953.6,1.15368,1.56536,1.47729,0.73165,0.63861,0.72131,0.50712,1.05912,1.09351,1.36624,0.0090892,0.0090892,0.0090892
48,3016.29,1.15654,1.56331,1.47844,0.72286,0.64525,0.72484,0.51018,1.0565,1.08653,1.36473,0.0090694,0.0090694,0.0090694
49,3078.76,1.15685,1.56102,1.47581,0.72236,0.65556,0.72838,0.51255,1.05517,1.07928,1.3638,0.0090496,0.0090496,0.0090496
50,3141.14,1.15158,1.54138,1.46983,0.72544,0.65218,0.73089,0.517,1.05175,1.07284,1.35978,0.0090298,0.0090298,0.0090298
51,3203.67,1.15154,1.53547,1.47105,0.74514,0.64321,0.7322,0.51805,1.04949,1.06829,1.35698,0.00901,0.00901,0.00901
52,3266.45,1.1416,1.5256,1.46314,0.73778,0.65629,0.73543,0.52017,1.0466,1.06374,1.35373,0.0089902,0.0089902,0.0089902
53,3329.47,1.1399,1.53599,1.46495,0.73832,0.65841,0.73743,0.52223,1.04307,1.05815,1.35031,0.0089704,0.0089704,0.0089704
54,3391.85,1.13433,1.51591,1.45169,0.74173,0.66038,0.73909,0.5236,1.03995,1.05414,1.34735,0.0089506,0.0089506,0.0089506
55,3453.99,1.12506,1.50438,1.4531,0.74181,0.65956,0.7403,0.5252,1.03918,1.05067,1.34645,0.0089308,0.0089308,0.0089308
56,3516.3,1.13775,1.51237,1.45366,0.74515,0.65954,0.74174,0.52684,1.0377,1.04719,1.34448,0.008911,0.008911,0.008911
57,3578.34,1.133,1.50102,1.45389,0.73743,0.66339,0.74213,0.5275,1.03559,1.0444,1.34205,0.0088912,0.0088912,0.0088912
58,3640.23,1.12579,1.48839,1.44375,0.7331,0.66666,0.74346,0.52876,1.03449,1.0393,1.33958,0.0088714,0.0088714,0.0088714
59,3703.26,1.12227,1.48271,1.4441,0.73186,0.67159,0.74554,0.5309,1.0333,1.0365,1.33791,0.0088516,0.0088516,0.0088516
60,3765.14,1.12561,1.47942,1.44368,0.73994,0.66504,0.74677,0.53264,1.03167,1.03341,1.33591,0.0088318,0.0088318,0.0088318
61,3827.49,1.12453,1.47554,1.44261,0.74277,0.66622,0.74836,0.53408,1.02971,1.02936,1.33394,0.008812,0.008812,0.008812
62,3889.35,1.10992,1.45768,1.4349,0.7443,0.67021,0.75039,0.53519,1.02784,1.0266,1.33177,0.0087922,0.0087922,0.0087922
63,3951.19,1.11219,1.45811,1.42933,0.74612,0.66996,0.75107,0.53642,1.02628,1.02431,1.32989,0.0087724,0.0087724,0.0087724
64,4013.12,1.11916,1.47373,1.43754,0.7398,0.67597,0.75197,0.53768,1.02476,1.02201,1.32795,0.0087526,0.0087526,0.0087526
65,4075.23,1.10459,1.44053,1.42678,0.73959,0.67709,0.75261,0.53818,1.02447,1.02022,1.32702,0.0087328,0.0087328,0.0087328
66,4137.38,1.09667,1.44473,1.41972,0.74299,0.6786,0.75391,0.5397,1.02352,1.01694,1.3254,0.008713,0.008713,0.008713
67,4199.45,1.11063,1.43793,1.42917,0.74138,0.67919,0.7549,0.54093,1.02251,1.01415,1.32417,0.0086932,0.0086932,0.0086932
68,4261.56,1.10581,1.42788,1.42325,0.74364,0.68016,0.75522,0.54199,1.02176,1.01162,1.32297,0.0086734,0.0086734,0.0086734
69,4323.73,1.10527,1.41524,1.42282,0.74433,0.68123,0.75573,0.5431,1.02089,1.00939,1.32196,0.0086536,0.0086536,0.0086536
70,4385.83,1.10643,1.42028,1.4213,0.74759,0.68079,0.75659,0.54356,1.01991,1.00693,1.32057,0.0086338,0.0086338,0.0086338
71,4447.9,1.11021,1.42407,1.4221,0.75379,0.67665,0.75697,0.54428,1.01913,1.00466,1.31961,0.008614,0.008614,0.008614
72,4509.92,1.09986,1.4218,1.42122,0.75359,0.67786,0.75711,0.54476,1.01823,1.00239,1.31882,0.0085942,0.0085942,0.0085942
73,4571.96,1.08979,1.41083,1.4101,0.75302,0.67841,0.75798,0.54545,1.01719,1.00027,1.31749,0.0085744,0.0085744,0.0085744
74,4634.05,1.09688,1.4028,1.4114,0.7534,0.67852,0.75858,0.54637,1.01627,0.99883,1.31631,0.0085546,0.0085546,0.0085546
75,4696.15,1.09062,1.39682,1.40767,0.74538,0.68499,0.75949,0.54675,1.01562,0.99674,1.31552,0.0085348,0.0085348,0.0085348
76,4758.29,1.08411,1.40387,1.40702,0.75446,0.67698,0.76024,0.54743,1.01451,0.99497,1.31411,0.008515,0.008515,0.008515
77,4820.04,1.08408,1.38975,1.40548,0.74854,0.68315,0.76085,0.54802,1.01357,0.99305,1.3128,0.0084952,0.0084952,0.0084952
78,4881.78,1.09886,1.38356,1.41428,0.7436,0.68935,0.76172,0.54889,1.01248,0.99081,1.31148,0.0084754,0.0084754,0.0084754
79,4943.55,1.08434,1.37701,1.40153,0.74536,0.68666,0.76222,0.54971,1.01143,0.98922,1.31028,0.0084556,0.0084556,0.0084556
80,5005.33,1.08459,1.38419,1.40427,0.74812,0.68546,0.76309,0.55056,1.01059,0.98733,1.30931,0.0084358,0.0084358,0.0084358
81,5067,1.07472,1.37431,1.39844,0.7529,0.68467,0.76367,0.55145,1.01004,0.98526,1.30854,0.008416,0.008416,0.008416
82,5128.79,1.08791,1.37194,1.39987,0.75066,0.68733,0.76428,0.55205,1.00941,0.98382,1.30761,0.0083962,0.0083962,0.0083962
83,5190.57,1.0838,1.3737,1.39834,0.74893,0.68864,0.76493,0.55234,1.00887,0.98202,1.30673,0.0083764,0.0083764,0.0083764
84,5252.29,1.07828,1.36811,1.39523,0.75306,0.68725,0.76602,0.55302,1.00859,0.98018,1.30617,0.0083566,0.0083566,0.0083566
85,5314.02,1.07663,1.36389,1.39202,0.75283,0.68868,0.76664,0.55377,1.00804,0.97873,1.30544,0.0083368,0.0083368,0.0083368
86,5375.7,1.07863,1.36282,1.39879,0.75448,0.69004,0.76727,0.55459,1.00735,0.97719,1.30453,0.008317,0.008317,0.008317
87,5437.45,1.07497,1.34844,1.39326,0.75168,0.69249,0.76725,0.55486,1.00655,0.97569,1.30355,0.0082972,0.0082972,0.0082972
88,5499.16,1.08178,1.35871,1.3927,0.75377,0.69269,0.76788,0.55557,1.00614,0.97428,1.30291,0.0082774,0.0082774,0.0082774
89,5560.87,1.06871,1.33481,1.38499,0.75645,0.69147,0.76829,0.5562,1.00556,0.97263,1.30229,0.0082576,0.0082576,0.0082576
90,5622.55,1.07774,1.34396,1.39025,0.75554,0.69233,0.7688,0.55688,1.00487,0.97089,1.30135,0.0082378,0.0082378,0.0082378
